"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
6523,"00A","heliport","Total RF Heliport",40.070985,-74.933689,11,"NA","US","US-PA","Bensalem","no","K00A",,"00A","https://www.penndot.pa.gov/TravelInPA/airports-pa/Pages/Total-RF-Heliport.aspx",,
323361,"00AA","small_airport","Aero B Ranch Airport",38.704022,-101.473911,3435,"NA","US","US-KS","Leoti","no","00AA",,"00AA",,,
6524,"00AK","small_airport","Lowell Field",59.947733,-151.692524,450,"NA","US","US-AK","Anchor Point","no","00AK",,"00AK",,,
6525,"00AL","small_airport","Epps Airpark",34.86479949951172,-86.77030181884766,820,"NA","US","US-AL","Harvest","no","00AL",,"00AL",,,
322127,"00AS","small_airport","Fulton Airport",34.9428028,-97.8180194,1100,"NA","US","US-OK","Alex","no","00AS",,"00AS",,,
6527,"00AZ","small_airport","Cordes Airport",34.305599212646484,-112.16500091552734,3810,"NA","US","US-AZ","Cordes","no","00AZ",,"00AZ",,,
6528,"00CA","small_airport","Goldstone (GTS) Airport",35.35474,-116.885329,3038,"NA","US","US-CA","Barstow","no","00CA",,"00CA",,"https://en.wikipedia.org/wiki/Goldstone_Gts_Airport",
324424,"00CL","small_airport","Williams Ag Airport",39.427188,-121.763427,87,"NA","US","US-CA","Biggs","no","00CL",,"00CL",,,
322658,"00CN","heliport","Kitchen Creek Helibase Heliport",32.7273736,-116.4597417,3350,"NA","US","US-CA","Pine Valley","no","00CN",,"00CN",,,
6529,"00CO","closed","Cass Field",40.622202,-104.344002,4830,"NA","US","US-CO","Briggsdale","no",,,,,,"00CO"
6531,"00FA","small_airport","Grass Patch Airport",28.64550018310547,-82.21900177001953,53,"NA","US","US-FL","Bushnell","no","00FA",,"00FA",,,
6532,"00FD","closed","Ringhaver Heliport",28.8466,-82.345398,25,"NA","US","US-FL","Riverview","no",,,,,,"00FD"
6533,"00FL","small_airport","River Oak Airport",27.230899810791016,-80.96920013427734,35,"NA","US","US-FL","Okeechobee","no","00FL",,"00FL",,,
6534,"00GA","small_airport","Lt World Airport",33.76750183105469,-84.06829833984375,700,"NA","US","US-GA","Lithonia","no","00GA",,"00GA",,,
6535,"00GE","heliport","Caffrey Heliport",33.887982,-84.736983,957,"NA","US","US-GA","Hiram","no","00GE",,"00GE",,,
6536,"00HI","heliport","Kaupulehu Heliport",19.832881,-155.978347,43,"OC","US","US-HI","Kailua-Kona","no","00HI",,"00HI",,,
322581,"00IG","small_airport","Goltl Airport",39.724028,-101.395994,3359,"NA","US","US-KS","McDonald","no","00IG",,"00IG",,,
6539,"00IL","small_airport","Hammer Airport",41.978401,-89.560402,840,"NA","US","US-IL","Polo","no","00IL",,"00IL",,,"Radio Ranch"
6540,"00IN","heliport","St Mary Medical Center Heliport",41.51139831542969,-87.2605972290039,634,"NA","US","US-IN","Hobart","no","00IN",,"00IN",,,
6542,"00KS","small_airport","Hayden Farm Airport",38.72779846191406,-94.93049621582031,1100,"NA","US","US-KS","Gardner","no","00KS",,"00KS",,,
6543,"00KY","small_airport","Robbins Roost Airport",37.409400939941406,-84.61969757080078,1265,"NA","US","US-KY","Stanford","no","00KY",,"00KY",,,
45437,"00LA","heliport","Shell Chemical East Site Heliport",30.191944,-90.980833,15,"NA","US","US-LA","Gonzales","no","00LA",,"00LA",,,
6544,"00LL","heliport","Ac & R Components Heliport",39.66529846191406,-89.70559692382812,600,"NA","US","US-IL","Chatham","no","00LL",,"00LL",,,
6545,"00LS","small_airport","Lejeune Airport",30.136299,-92.429398,12,"NA","US","US-LA","Crowley","no","00LS",,"00LS",,,
6546,"00MD","small_airport","Slater Field",38.75709915161133,-75.75379943847656,45,"NA","US","US-MD","Federalsburg","no","00MD",,"00MD",,,
6547,"00MI","heliport","Dow Chemical Heliport",43.94940185546875,-86.41670227050781,588,"NA","US","US-MI","Ludington","no","00MI",,"00MI",,,
6548,"00MN","small_airport","Battle Lake Municipal Airport",46.29999923706055,-95.70030212402344,1365,"NA","US","US-MN","Battle Lake","no","00MN",,"00MN",,,
6549,"00MO","small_airport","Cooper Flying Service Airport",37.202800750732,-94.412399291992,970,"NA","US","US-MO","Alba","no","00MO",,"00MO",,,"5K8"
324642,"00MT","heliport","Livingston Healthcare Heliport",45.675,-110.52515,4465,"NA","US","US-MT","Livingston","no","00MT",,"00MT",,,
6551,"00N","small_airport","Bucks Airport",39.472998,-75.184346,105,"NA","US","US-NJ","Bridgeton","no","K00N",,"00N",,"https://en.wikipedia.org/wiki/Bucks_Airport",
6552,"00NC","small_airport","North Raleigh Airport",36.085201263427734,-78.37139892578125,348,"NA","US","US-NC","Louisburg","no","00NC",,"00NC",,,
6553,"00NJ","heliport","Colgate-Piscataway Heliport",40.52090072631836,-74.47460174560547,78,"NA","US","US-NJ","New Brunswick","no","00NJ",,"00NJ",,,
322962,"MX-0406","small_airport","Kilo Airport",25.837279,-98.117336,102,"NA","MX","MX-TAM","Río Bravo","no",,,"TRM",,,
322963,"MX-0407","small_airport","Paso Real Airstrip",24.824711,-98.164431,,"NA","MX","MX-TAM","San Fernando","no",,,,,,
322967,"MX-0408","small_airport","Bravo Airport",25.972194,-98.119168,138,"NA","MX","MX-TAM","Río Bravo","no",,,"AAB",,,"MMRR"
322968,"MX-0409","small_airport","Peña Flor Airport",24.563284,-103.032122,5627,"NA","MX","MX-DUR","Simón Bolívar","no",,,"PFO",,,
322969,"MX-0410","small_airport","Cuixmala Airport",19.379351,-104.987386,36,"NA","MX","MX-JAL","La Huerta","no",,,"CIX",,,
322970,"MX-0411","heliport","Helipuerto Comisión Nacional de Seguridad",19.316187,-99.22046,8110,"NA","MX","MX-DIF","Magdalena Contreras","no",,,"PFP","http://www.cns.gob.mx/portalWebApp/wlp.c?__c=7f9",,"Pedregal Tower"
322980,"MX-0412","small_airport","San Luis de Ocosingo Airport",16.891884,-92.054834,3035,"NA","MX","MX-CHP","Ocosingo","no",,,"OCO",,,
323046,"MX-0413","small_airport","Air Station No. 8 Loma Bonita",18.023333,-95.853611,174,"NA","MX","MX-OAX","Loma Bonita","no",,,,,"https://es.wikipedia.org/wiki/Estaci%C3%B3n_a%C3%A9rea_n.%C2%B0_8_Loma_Bonita","MX67"
344734,"SD7R","heliport","Refúgio das Garças Heliport.",-12.743425,-38.513335,3,"SA","BR","BR-BA","Candeias","no","SD7R",,"BA0244",,,
344736,"SD7S","small_airport","Fazenda Guatambu Airport",-9.746181,-55.448171,1066,"SA","BR","BR-MT","Novo Mundo","no","SD7S",,"MT0723",,,
344745,"SD7T","heliport","Base de Operações Aéreas da PRF Heliport",-29.9725,-51.176111,33,"SA","BR","BR-RS","Porto Alegre","no","SD7T",,"RS0183",,,
344782,"SD7V","heliport","Ten. Brig. Ar Waldir de Vasconcelos Heliport",-22.981944,-43.378056,10,"SA","BR","BR-RJ","Rio de Janeiro","no","SD7V",,"RJ0318",,,
346964,"SD7X","small_airport","Fly Aviação Agrícola Airport",-12.139167,-56.1225,1260,"SA","BR","BR-MT","Ipiranga do Norte","no","SD7X",,"MT0717",,,
